entity,doc_freq,types,primary_type,idf,tfidf_proxy
Hub Indexation,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Hybrid Pricing Formulae,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Destination Flexibility,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Coral North Flng Export Project,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
4.9 Bcm/Yr,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Large Contracts,2,"['Policy', 'Metric']",Policy,6.711131937477322,13.422263874954645
Medium-Sized Contracts,2,"['Policy', 'Metric']",Policy,6.711131937477322,13.422263874954645
Destination-Fixed Contracts,2,"['Policy', 'Metric']",Policy,6.711131937477322,13.422263874954645
Fixed,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Gas Market Prices,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Lng Export Contracts,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Scope 2 Emissions,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Capacity Mechanisms,2,['Policy'],Policy,6.711131937477322,13.422263874954645
System Adequacy,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Aggregated Demand Resources,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Operational Use,2,"['Technology', 'Metric']",Technology,6.711131937477322,13.422263874954645
Market Uptake,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Smart Meter Coverage,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Grid Stability,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Member States,2,['Region'],Region,6.711131937477322,13.422263874954645
Winter 2024/25,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Activation-Command Resources,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Solar Sharer Offer,2,['Policy'],Policy,6.711131937477322,13.422263874954645
1 July 2026,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Ministry Of Power,2,['Policy'],Policy,6.711131937477322,13.422263874954645
2024 Pilot Programme,2,"['Timeframe', 'Policy']",Timeframe,6.711131937477322,13.422263874954645
Wind Onshore,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Solar Power,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Grid-Scale Batteries,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Macse Auction,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Energy Arbitrage,2,['Sector'],Sector,6.711131937477322,13.422263874954645
National Electricity Market Of Australia,2,"['Region', 'Infrastructure']",Region,6.711131937477322,13.422263874954645
Australia'S Nem,2,"['Region', 'Infrastructure']",Region,6.711131937477322,13.422263874954645
Frequency Regulation,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Capacity Additions,2,"['Metric', 'Infrastructure']",Metric,6.711131937477322,13.422263874954645
Intraday Price Spread,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Day-Ahead Energy Shifting,2,"['Technology', 'Sector']",Technology,6.711131937477322,13.422263874954645
Short-Term Imbalances,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Forecasting Errors,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Rapid Changes In Net Load,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Financial Hedging Instruments,2,"['Policy', 'Technology']",Policy,6.711131937477322,13.422263874954645
Forward Contracts,2,"['Policy', 'Technology']",Policy,6.711131937477322,13.422263874954645
Capital-Based Investment Support,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Day-Ahead Market,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Intraday Market,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Balancing Market,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Bw Ess,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Penso Power,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Macse Scheme,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Storage Duration,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Ocgt,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Stability Market,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Enduring Auction Capability,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Fast Frequency Response Services,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Distribution Networks,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Dispatchable Capacity,2,"['Energysource', 'Infrastructure']",Energysource,6.711131937477322,13.422263874954645
Electricity 2025 Report,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Vre Generation,2,"['Energysource', 'Metric']",Energysource,6.711131937477322,13.422263874954645
Distribution Grids,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Renewable Generators,2,"['Technology', 'Sector']",Technology,6.711131937477322,13.422263874954645
Grid Load,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Conventional Synchronous Generators,2,"['Technology', 'Infrastructure']",Technology,6.711131937477322,13.422263874954645
Co2 Intensity,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Wholesaleelectricityprices,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Platts Jkm Prices,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Hydro Output,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
European Central Bank,2,['Policy'],Policy,6.711131937477322,13.422263874954645
State Aid Rules,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Eu-Ets Compensation,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Decarbonisation,2,"['Policy', 'Metric']",Policy,6.711131937477322,13.422263874954645
Renewables Obligation,2,['Policy'],Policy,6.711131937477322,13.422263874954645
April 2026,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Government Surcharges,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Yunnan,2,['Region'],Region,6.711131937477322,13.422263874954645
Sichuan,2,['Region'],Region,6.711131937477322,13.422263874954645
Hebei,2,['Region'],Region,6.711131937477322,13.422263874954645
Unitedkingdom,2,['Region'],Region,6.711131937477322,13.422263874954645
Electricity Price,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Vat Rate,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Resilience,2,"['Technology', 'Metric']",Technology,6.711131937477322,13.422263874954645
Oversight,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Continental European Power System,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
South-Central Chile,2,['Region'],Region,6.711131937477322,13.422263874954645
Yucatán Peninsula,2,['Region'],Region,6.711131937477322,13.422263874954645
Pennsylvania,2,['Region'],Region,6.711131937477322,13.422263874954645
Super Typhoon Ragasa,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Fixed-Price Remuneration,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Electricity System Transformation,2,['Sector'],Sector,6.711131937477322,13.422263874954645
2025-2027,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Spot Market Procurement,2,"['Policy', 'Sector']",Policy,6.711131937477322,13.422263874954645
Net Change,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Grid Strength,2,"['Metric', 'Infrastructure']",Metric,6.711131937477322,13.422263874954645
500 Gw Non-Fossil Capacity Target,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Renewable Expansion,2,"['Policy', 'Technology']",Policy,6.711131937477322,13.422263874954645
Digitalisation,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Small Modular Reactors (Smrs),2,['Technology'],Technology,6.711131937477322,13.422263874954645
Japan Atomic Power Company,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Tokai Unit 2,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Fossil-Fired Thermal Generation,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Mitsubishi Corporation,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Peak Demand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Smr,2,"['Technology', 'Infrastructure']",Technology,6.711131937477322,13.422263874954645
Coal Generation,2,"['Energysource', 'Metric']",Energysource,6.711131937477322,13.422263874954645
Capacity Investment Scheme (Cis),2,['Policy'],Policy,6.711131937477322,13.422263874954645
Rooftop Pv,2,"['Energysource', 'Technology']",Energysource,6.711131937477322,13.422263874954645
Electricityconsumption,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Southeastasia,2,['Region'],Region,6.711131937477322,13.422263874954645
Power Development Plan (Ruptl) 2025-2034,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Carbon Capture And Storage (Ccs),2,['Technology'],Technology,6.711131937477322,13.422263874954645
Ghg Emissions,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Methane,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Venture Global Lng,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Methane Leakage Reduction,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Flaring Reduction,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Global Lng Markets,2,"['Sector', 'Region']",Sector,6.711131937477322,13.422263874954645
Kasawari Ccs,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Petronas,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Inpex,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Woodside,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Ichthys Lng Joint Venture,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Bayu-Undan Ccs,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Low-Emission Gases Work Programme,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Agricultural Residues,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Organic Waste,2,"['Energysource', 'Sector']",Energysource,6.711131937477322,13.422263874954645
Feed-In-Tariffs,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Municipal Solid Waste,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Clean Fuel Standards,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Low-Emissions Hydrogen Production,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Toho Gas,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Cpc,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Port Of Rauma,2,"['Region', 'Infrastructure']",Region,6.711131937477322,13.422263874954645
Tree Energy,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Santos,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Nordic Ren-Gas,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Tampere,2,['Region'],Region,6.711131937477322,13.422263874954645
Lahti,2,['Region'],Region,6.711131937477322,13.422263874954645
Kotka,2,['Region'],Region,6.711131937477322,13.422263874954645
Mikkeli,2,['Region'],Region,6.711131937477322,13.422263874954645
Pori,2,['Region'],Region,6.711131937477322,13.422263874954645
Kerava,2,['Region'],Region,6.711131937477322,13.422263874954645
Cbg,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Cne,2,"['Policy', 'Infrastructure']",Policy,6.711131937477322,13.422263874954645
Eia,2,"['Policy', 'Sector']",Policy,6.711131937477322,13.422263874954645
Fob,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Meti,2,"['Policy', 'Infrastructure']",Policy,6.711131937477322,13.422263874954645
Million Tonnes,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Ana Alcalde Báscones,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Eren Cam,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Iea Secretariat,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Iea Individual Member Countries,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Iea Data And Analysis,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Creative Commons Attribution 4.0 International Licence,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Iea Publications,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Iea Website,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Iea Contact Information,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Oil 2025,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Oil Production Curbs,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Oil Supply Security,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Fuels,2,"['Energysource', 'Sector']",Energysource,6.711131937477322,13.422263874954645
Jeremy Moorhouse,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Jon Custer,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Merve Erdil,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Robert Stone,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Aviation Demand,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Marine Demand,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Per Capita Fuel Use,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Oil-Fired Electricity Generation,2,"['Energysource', 'Sector']",Energysource,6.711131937477322,13.422263874954645
Shale Oil,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
European Refining System,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Chinese Oil Demand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Global Oil Supply,2,['Metric'],Metric,6.711131937477322,13.422263874954645
2020-2024,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Electric Cars,2,"['Technology', 'Sector']",Technology,6.711131937477322,13.422263874954645
Emerging And Developing Economies,2,['Region'],Region,6.711131937477322,13.422263874954645
Opec+ Alliance,2,"['Policy', 'Sector']",Policy,6.711131937477322,13.422263874954645
Total Oil Demand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Opec+ Ngls,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
New Refining Capacity,2,"['Metric', 'Infrastructure']",Metric,6.711131937477322,13.422263874954645
Atlantic Basin Product Exports,2,['Metric'],Metric,6.711131937477322,13.422263874954645
2011,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Ev Adoption,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Road Fuels,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Non-Oecd Countries,2,['Region'],Region,6.711131937477322,13.422263874954645
Deglobalisation,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Subsidies,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Ageing Population,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Technology,2,"['Technology', 'Sector']",Technology,6.711131937477322,13.422263874954645
Productivity,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Global Trade,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Overcapacity,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Middle Class,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Car Ownership,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Global Financial Crisis 2008,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Developed Economies,2,['Region'],Region,6.711131937477322,13.422263874954645
Fuel Demand Growth,2,['Metric'],Metric,6.711131937477322,13.422263874954645
1990,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Western Economies,2,['Region'],Region,6.711131937477322,13.422263874954645
Innovation,2,"['Policy', 'Metric']",Policy,6.711131937477322,13.422263874954645
Lockdown Stringency,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Population Density,2,['Metric'],Metric,6.711131937477322,13.422263874954645
London,2,['Region'],Region,6.711131937477322,13.422263874954645
Employment Trends,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Gasoline Use,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Domestic Flights,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
International Flights,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Pre-Pandemic Levels,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Nbs,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Public Transport Networks,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
East Asia,2,['Region'],Region,6.711131937477322,13.422263874954645
Northeast Asia,2,['Region'],Region,6.711131937477322,13.422263874954645
Lightweight Materials,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Enhanced Engine Propulsion,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Narrow-Body Flagship Models,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Tonne-Kilometres,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Oil Consumption,2,['Metric'],Metric,6.711131937477322,13.422263874954645
2024-30 Growth Rate,2,['Metric'],Metric,6.711131937477322,13.422263874954645
2024-30 Growth,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Liquified Natural Gas,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
China Oil Demand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Carbondioxideemissions,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Carlos Fernández Alvarez,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Stephan Terhorst,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Eren Çam,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Marc Casanovas,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Joel Couse,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Timur Gül,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Martin Küppers,2,['Sector'],Sector,6.711131937477322,13.422263874954645
John Moloney,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Energy Data Centre,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Zuzana Dobrotkova,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Rebecca Mckimm,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Whitehaven Coal,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Thungela,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Glencore,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Trade,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Global Coal Demand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Global Electricity Demand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Coal Gasification Plants,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Liquefied Natural Gas (Lng),2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Energy Markets,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Coal Gasification Projects,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Renewable Generation Capacity,2,"['Energysource', 'Infrastructure']",Energysource,6.711131937477322,13.422263874954645
Coal Production In China,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Coal Production In India,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Global Coal Production,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Non-Power Sector,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Higher Gas Prices,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Wind Droughts,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Chemical Production,2,['Sector'],Sector,6.711131937477322,13.422263874954645
United_States,2,['Region'],Region,6.711131937477322,13.422263874954645
Industrial Processes,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Pulverised Coal Injection,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Coke,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Non-Power Steam Coal,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Real Estate,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Renewable Generation Growth 2025,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Winter Months,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Ammonia Co-Firing,2,"['Energysource', 'Technology']",Energysource,6.711131937477322,13.422263874954645
Load Factors,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Precipitation,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Small Industry,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Textiles Sector,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Coal-To-Liquids,2,"['Technology', 'Sector']",Technology,6.711131937477322,13.422263874954645
Olefins,2,"['Energysource', 'Technology']",Energysource,6.711131937477322,13.422263874954645
Renewable Hydrogen,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Wind Electricity,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Solar Pv Electricity,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Fertiliser,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Electricity System,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Adani,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Goods And Service Tax (Gst),2,['Policy'],Policy,6.711131937477322,13.422263874954645
Blast Furnaces,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Cil,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Coal-Fired Units,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Department Of The Interior,2,"['Policy', 'Sector']",Policy,6.711131937477322,13.422263874954645
Santee Cooper,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Aep,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Pjm Transmission Region,2,['Region'],Region,6.711131937477322,13.422263874954645
Coal Phase-Out,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Gas Capacity,2,"['Energysource', 'Infrastructure']",Energysource,6.711131937477322,13.422263874954645
Western Balkans,2,['Region'],Region,6.711131937477322,13.422263874954645
Eu Markets,2,['Region'],Region,6.711131937477322,13.422263874954645
Total Coal Consumption,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Eu Carbon Border Adjustment Mechanism (Cbam),2,['Policy'],Policy,6.711131937477322,13.422263874954645
Next Decade,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Aluminium Smelting,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Coal-Fired Power Capacity,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Government-Owned Corporation Pln,2,"['Policy', 'Infrastructure']",Policy,6.711131937477322,13.422263874954645
Coal Procurement Price Cap,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Coal Power Generation,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Imported Oil Products,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Lng Import Capacity,2,"['Metric', 'Infrastructure']",Metric,6.711131937477322,13.422263874954645
Renewable Sources,2,['Energysource'],Energysource,6.711131937477322,13.422263874954645
Carbon Neutrality By 2050,2,['Policy'],Policy,6.711131937477322,13.422263874954645
7Th Strategic Energy Plan,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Medupi,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
July,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Stockpiles,2,"['Metric', 'Infrastructure']",Metric,6.711131937477322,13.422263874954645
Power Plants,2,"['Sector', 'Infrastructure']",Sector,6.711131937477322,13.422263874954645
Coal Sector,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Madhya Pradesh,2,['Region'],Region,6.711131937477322,13.422263874954645
Coal Production 2030,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Thermal Coal (Export),2,"['Energysource', 'Metric']",Energysource,6.711131937477322,13.422263874954645
Thermal Coal And Lignite (Domestic),2,"['Energysource', 'Metric']",Energysource,6.711131937477322,13.422263874954645
Australian Coal Supply,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Costs,2,['Metric'],Metric,6.711131937477322,13.422263874954645
New South Wales Court Of Appeal,2,['Policy'],Policy,6.711131937477322,13.422263874954645
New South Wales Government,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Us Coal Supply,2,"['Energysource', 'Metric']",Energysource,6.711131937477322,13.422263874954645
Appalachian Region,2,['Region'],Region,6.711131937477322,13.422263874954645
Ramaco Resources,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Brook Mine,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
First Seven Months Of 2025,2,['Timeframe'],Timeframe,6.711131937477322,13.422263874954645
Coal Exports,2,"['Sector', 'Metric']",Sector,6.711131937477322,13.422263874954645
Integrated Resource Plan 2025,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Industrial Consumers,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Cec,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Renewable Energy Institute,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Jonatan Olsen,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Danish Energy Agency,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Lars Stephan,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Eli Pack,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Yannick Phulpin,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Marcio Szechtman,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Sectors,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Per Capita Electricity Consumption,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Regulatory And Policy Frameworks,2,['Policy'],Policy,6.711131937477322,13.422263874954645
Grid-Enhancing Technology,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Baltic Electricity System,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Power System,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
System Instability,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Weather Impacts,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Voltage Management,2,"['Technology', 'Metric']",Technology,6.711131937477322,13.422263874954645
Power System Stability,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Equipment Failures,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Extreme Weather Events,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Mild Weather,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Overall Energy Demand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Generation Capacity,2,"['Metric', 'Infrastructure']",Metric,6.711131937477322,13.422263874954645
Advanced-Stage Projects,2,"['Metric', 'Infrastructure']",Metric,6.711131937477322,13.422263874954645
Advanced Power-Flow Control,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Utility-Scale Battery Deployment,2,"['Technology', 'Sector']",Technology,6.711131937477322,13.422263874954645
Householdelectricityprices,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Existing Infrastructure,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Estlink-2 Cable Outage,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Heathrow Substation Fire,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Berlin Arson Attack,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Physical Protection Of Critical Infrastructure,2,"['Policy', 'Technology']",Policy,6.711131937477322,13.422263874954645
Air Conditioners,2,"['Technology', 'Sector']",Technology,6.711131937477322,13.422263874954645
Global Electricity Consumption,2,['Metric'],Metric,6.711131937477322,13.422263874954645
Advancedeconomies,2,['Region'],Region,6.711131937477322,13.422263874954645
Buildingssector,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Datacentres,2,['Infrastructure'],Infrastructure,6.711131937477322,13.422263874954645
Heatpumps,2,['Technology'],Technology,6.711131937477322,13.422263874954645
Industrialsector,2,['Sector'],Sector,6.711131937477322,13.422263874954645
Electricitydemand,2,['Metric'],Metric,6.711131937477322,13.422263874954645
